,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,bpm,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,bpm_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,bpm_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,bpm_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240.0,240.0,36.0,83.0,0.434,5.0,19.0,0.263,18.0,25.0,0.72,10.0,41.0,51.0,22.0,10.0,6.0,20.0,16.0,95.0,,,0.505,0.464,0.229,0.301,25.6,71.9,53.1,61.1,10.0,8.7,17.5,100.0,94.6,86.7,,,,8.0,18.0,1.0,2.0,5.0,1.0,8.0,10.0,1.0,4.0,10.0,14.0,5.0,4.0,2.0,4.0,4.0,24.0,22.4,14.0,1.333,1.333,1.0,1.0,28.2,24.7,20.2,28.9,6.7,17.4,66.7,30.1,126.0,101.0,11.7,SAS,95,0,1,240.0,240.0,35.0,98.0,0.357,6.0,29.0,0.207,11.0,14.0,0.786,16.0,29.0,45.0,21.0,10.0,5.0,16.0,23.0,87.0,,,0.418,0.388,0.296,0.143,28.1,74.4,46.9,60.0,10.0,7.8,13.3,100.0,86.7,94.6,,,,7.0,18.0,1.0,2.0,5.0,0.5,6.0,6.0,1.0,4.0,6.0,8.0,5.0,4.0,1.0,4.0,4.0,18.0,16.2,6.0,1.0,1.0,1.0,0.333,14.3,56.8,26.9,32.5,6.3,5.8,40.0,34.0,125.0,104.0,10.7,BOS,87,1,2016,2015-11-01,True
1,240.0,240.0,35.0,98.0,0.357,6.0,29.0,0.207,11.0,14.0,0.786,16.0,29.0,45.0,21.0,10.0,5.0,16.0,23.0,87.0,,,0.418,0.388,0.296,0.143,28.1,74.4,46.9,60.0,10.0,7.8,13.3,100.0,86.7,94.6,,,,7.0,18.0,1.0,2.0,5.0,0.5,6.0,6.0,1.0,4.0,6.0,8.0,5.0,4.0,1.0,4.0,4.0,18.0,16.2,6.0,1.0,1.0,1.0,0.333,14.3,56.8,26.9,32.5,6.3,5.8,40.0,34.0,125.0,104.0,10.7,BOS,87,1,0,240.0,240.0,36.0,83.0,0.434,5.0,19.0,0.263,18.0,25.0,0.72,10.0,41.0,51.0,22.0,10.0,6.0,20.0,16.0,95.0,,,0.505,0.464,0.229,0.301,25.6,71.9,53.1,61.1,10.0,8.7,17.5,100.0,94.6,86.7,,,,8.0,18.0,1.0,2.0,5.0,1.0,8.0,10.0,1.0,4.0,10.0,14.0,5.0,4.0,2.0,4.0,4.0,24.0,22.4,14.0,1.333,1.333,1.0,1.0,28.2,24.7,20.2,28.9,6.7,17.4,66.7,30.1,126.0,101.0,11.7,SAS,95,0,2016,2015-11-01,False
2,240.0,240.0,35.0,90.0,0.389,7.0,23.0,0.304,10.0,17.0,0.588,12.0,31.0,43.0,21.0,7.0,11.0,17.0,19.0,87.0,,,0.446,0.428,0.256,0.189,25.0,73.8,47.8,60.0,7.2,18.6,14.8,100.0,89.3,94.5,,,,8.0,15.0,0.533,2.0,6.0,0.5,3.0,3.0,1.0,4.0,8.0,11.0,5.0,2.0,3.0,5.0,5.0,19.0,14.3,7.0,0.598,0.625,1.0,1.0,19.6,27.9,17.1,24.6,4.1,11.5,50.0,34.7,132.0,109.0,9.4,ORL,87,0,1,240.0,240.0,33.0,87.0,0.379,7.0,28.0,0.25,19.0,22.0,0.864,11.0,36.0,47.0,23.0,7.0,8.0,15.0,16.0,92.0,,,0.476,0.42,0.322,0.253,26.2,75.0,52.2,69.7,7.2,11.9,13.4,100.0,94.5,89.3,,,,7.0,14.0,0.667,3.0,8.0,0.5,6.0,8.0,1.0,3.0,7.0,9.0,8.0,4.0,2.0,3.0,4.0,16.0,17.9,8.0,0.773,0.667,0.667,0.8,14.6,25.6,19.8,39.6,6.1,5.0,25.3,33.5,131.0,101.0,13.1,CHI,92,1,2016,2015-11-01,False
3,240.0,240.0,33.0,87.0,0.379,7.0,28.0,0.25,19.0,22.0,0.864,11.0,36.0,47.0,23.0,7.0,8.0,15.0,16.0,92.0,,,0.476,0.42,0.322,0.253,26.2,75.0,52.2,69.7,7.2,11.9,13.4,100.0,94.5,89.3,,,,7.0,14.0,0.667,3.0,8.0,0.5,6.0,8.0,1.0,3.0,7.0,9.0,8.0,4.0,2.0,3.0,4.0,16.0,17.9,8.0,0.773,0.667,0.667,0.8,14.6,25.6,19.8,39.6,6.1,5.0,25.3,33.5,131.0,101.0,13.1,CHI,92,1,0,240.0,240.0,35.0,90.0,0.389,7.0,23.0,0.304,10.0,17.0,0.588,12.0,31.0,43.0,21.0,7.0,11.0,17.0,19.0,87.0,,,0.446,0.428,0.256,0.189,25.0,73.8,47.8,60.0,7.2,18.6,14.8,100.0,89.3,94.5,,,,8.0,15.0,0.533,2.0,6.0,0.5,3.0,3.0,1.0,4.0,8.0,11.0,5.0,2.0,3.0,5.0,5.0,19.0,14.3,7.0,0.598,0.625,1.0,1.0,19.6,27.9,17.1,24.6,4.1,11.5,50.0,34.7,132.0,109.0,9.4,ORL,87,0,2016,2015-11-01,True
4,240.0,240.0,37.0,88.0,0.42,7.0,29.0,0.241,13.0,14.0,0.929,9.0,39.0,48.0,22.0,9.0,6.0,11.0,16.0,94.0,,,0.499,0.46,0.33,0.159,20.0,81.3,51.6,59.5,9.6,12.2,10.5,100.0,100.6,98.5,,,,7.0,16.0,0.75,2.0,5.0,1.0,6.0,6.0,1.0,3.0,10.0,12.0,6.0,3.0,3.0,3.0,3.0,20.0,19.2,11.0,0.717,0.75,0.667,0.5,18.3,28.6,20.6,30.1,5.9,8.4,37.5,26.6,142.0,110.0,16.2,ATL,94,0,1,240.0,240.0,32.0,86.0,0.372,14.0,37.0,0.378,14.0,15.0,0.933,9.0,36.0,45.0,27.0,7.0,13.0,12.0,14.0,92.0,,,0.497,0.453,0.43,0.174,18.8,80.0,48.4,84.4,7.5,22.0,11.5,100.0,98.5,100.6,,,,5.0,14.0,1.0,5.0,9.0,1.0,7.0,8.0,1.0,3.0,10.0,10.0,8.0,2.0,3.0,2.0,4.0,17.0,17.5,4.0,1.5,1.5,1.0,0.889,8.8,36.3,17.6,41.7,3.3,8.9,21.5,27.9,300.0,113.0,8.9,CHO,92,1,2016,2015-11-01,True
5,240.0,240.0,32.0,86.0,0.372,14.0,37.0,0.378,14.0,15.0,0.933,9.0,36.0,45.0,27.0,7.0,13.0,12.0,14.0,92.0,,,0.497,0.453,0.43,0.174,18.8,80.0,48.4,84.4,7.5,22.0,11.5,100.0,98.5,100.6,,,,5.0,14.0,1.0,5.0,9.0,1.0,7.0,8.0,1.0,3.0,10.0,10.0,8.0,2.0,3.0,2.0,4.0,17.0,17.5,4.0,1.5,1.5,1.0,0.889,8.8,36.3,17.6,41.7,3.3,8.9,21.5,27.9,300.0,113.0,8.9,CHO,92,1,0,240.0,240.0,37.0,88.0,0.42,7.0,29.0,0.241,13.0,14.0,0.929,9.0,39.0,48.0,22.0,9.0,6.0,11.0,16.0,94.0,,,0.499,0.46,0.33,0.159,20.0,81.3,51.6,59.5,9.6,12.2,10.5,100.0,100.6,98.5,,,,7.0,16.0,0.75,2.0,5.0,1.0,6.0,6.0,1.0,3.0,10.0,12.0,6.0,3.0,3.0,3.0,3.0,20.0,19.2,11.0,0.717,0.75,0.667,0.5,18.3,28.6,20.6,30.1,5.9,8.4,37.5,26.6,142.0,110.0,16.2,ATL,94,0,2016,2015-11-01,False
6,240.0,240.0,40.0,87.0,0.46,11.0,30.0,0.367,12.0,16.0,0.75,8.0,41.0,49.0,28.0,5.0,4.0,11.0,22.0,103.0,,,0.548,0.523,0.345,0.184,19.0,83.7,53.8,70.0,5.2,7.8,10.5,100.0,106.4,96.1,,,,10.0,13.0,0.769,3.0,8.0,0.6,8.0,10.0,1.0,3.0,9.0,12.0,8.0,2.0,2.0,3.0,4.0,25.0,22.1,12.0,0.901,0.885,0.8,1.25,11.7,30.1,21.6,44.6,4.5,7.9,28.7,24.0,155.0,105.0,14.5,DAL,103,0,1,240.0,240.0,31.0,85.0,0.365,10.0,34.0,0.294,21.0,28.0,0.75,8.0,34.0,42.0,18.0,8.0,9.0,12.0,20.0,93.0,,,0.478,0.424,0.4,0.329,16.3,81.0,46.2,58.1,8.3,15.8,11.0,100.0,96.1,106.4,,,,9.0,17.0,0.667,3.0,9.0,0.5,7.0,8.0,1.0,3.0,15.0,15.0,4.0,4.0,2.0,3.0,5.0,22.0,21.3,2.0,0.683,0.667,0.8,2.0,11.3,51.0,23.5,58.8,5.9,7.7,44.4,29.4,160.0,115.0,10.5,LAL,93,1,2016,2015-11-01,True
7,240.0,240.0,31.0,85.0,0.365,10.0,34.0,0.294,21.0,28.0,0.75,8.0,34.0,42.0,18.0,8.0,9.0,12.0,20.0,93.0,,,0.478,0.424,0.4,0.329,16.3,81.0,46.2,58.1,8.3,15.8,11.0,100.0,96.1,106.4,,,,9.0,17.0,0.667,3.0,9.0,0.5,7.0,8.0,1.0,3.0,15.0,15.0,4.0,4.0,2.0,3.0,5.0,22.0,21.3,2.0,0.683,0.667,0.8,2.0,11.3,51.0,23.5,58.8,5.9,7.7,44.4,29.4,160.0,115.0,10.5,LAL,93,1,0,240.0,240.0,40.0,87.0,0.46,11.0,30.0,0.367,12.0,16.0,0.75,8.0,41.0,49.0,28.0,5.0,4.0,11.0,22.0,103.0,,,0.548,0.523,0.345,0.184,19.0,83.7,53.8,70.0,5.2,7.8,10.5,100.0,106.4,96.1,,,,10.0,13.0,0.769,3.0,8.0,0.6,8.0,10.0,1.0,3.0,9.0,12.0,8.0,2.0,2.0,3.0,4.0,25.0,22.1,12.0,0.901,0.885,0.8,1.25,11.7,30.1,21.6,44.6,4.5,7.9,28.7,24.0,155.0,105.0,14.5,DAL,103,0,2016,2015-11-01,False
8,240.0,240.0,32.0,79.0,0.405,10.0,36.0,0.278,15.0,18.0,0.833,3.0,31.0,34.0,20.0,9.0,3.0,18.0,23.0,89.0,,,0.512,0.468,0.456,0.228,7.5,73.8,41.5,62.5,9.1,4.7,17.2,100.0,90.1,110.4,,,,8.0,16.0,1.0,5.0,10.0,0.556,12.0,14.0,1.0,2.0,7.0,7.0,7.0,3.0,1.0,5.0,4.0,21.0,11.4,4.0,1.0,1.0,1.0,0.933,10.8,32.4,20.7,32.7,4.7,5.3,43.6,30.9,152.0,122.0,10.0,HOU,89,0,1,240.0,240.0,42.0,86.0,0.488,9.0,22.0,0.409,16.0,21.0,0.762,11.0,37.0,48.0,24.0,11.0,5.0,15.0,16.0,109.0,,,0.572,0.541,0.256,0.244,26.2,92.5,58.5,57.1,11.1,11.6,13.6,100.0,110.4,90.1,,,,12.0,16.0,0.8,2.0,5.0,1.0,6.0,6.0,1.0,3.0,14.0,15.0,8.0,3.0,2.0,3.0,4.0,25.0,24.7,27.0,0.766,0.8,0.714,1.0,16.2,50.1,26.2,35.2,4.4,9.0,100.0,26.8,163.0,100.0,17.0,MIA,109,1,2016,2015-11-01,False
9,240.0,240.0,42.0,86.0,0.488,9.0,22.0,0.409,16.0,21.0,0.762,11.0,37.0,48.0,24.0,11.0,5.0,15.0,16.0,109.0,,,0.572,0.541,0.256,0.244,26.2,92.5,58.5,57.1,11.1,11.6,13.6,100.0,110.4,90.1,,,,12.0,16.0,0.8,2.0,5.0,1.0,6.0,6.0,1.0,3.0,14.0,15.0,8.0,3.0,2.0,3.0,4.0,25.0,24.7,27.0,0.766,0.8,0.714,1.0,16.2,50.1,26.2,35.2,4.4,9.0,100.0,26.8,163.0,100.0,17.0,MIA,109,1,0,240.0,240.0,32.0,79.0,0.405,10.0,36.0,0.278,15.0,18.0,0.833,3.0,31.0,34.0,20.0,9.0,3.0,18.0,23.0,89.0,,,0.512,0.468,0.456,0.228,7.5,73.8,41.5,62.5,9.1,4.7,17.2,100.0,90.1,110.4,,,,8.0,16.0,1.0,5.0,10.0,0.556,12.0,14.0,1.0,2.0,7.0,7.0,7.0,3.0,1.0,5.0,4.0,21.0,11.4,4.0,1.0,1.0,1.0,0.933,10.8,32.4,20.7,32.7,4.7,5.3,43.6,30.9,152.0,122.0,10.0,HOU,89,0,2016,2015-11-01,True
