,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,bpm,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,bpm_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,bpm_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,bpm_max_opp,team_opp,total_opp,home_opp,season,date,won
10,240.0,240.0,35.0,92.0,0.38,9.0,26.0,0.346,14.0,19.0,0.737,14.0,21.0,35.0,20.0,8.0,3.0,13.0,17.0,93.0,,,0.463,0.429,0.283,0.207,27.5,61.8,41.2,57.1,8.4,4.9,11.5,100.0,97.2,122.3,,,,6.0,14.0,0.667,2.0,5.0,1.0,7.0,8.0,1.0,3.0,5.0,7.0,7.0,2.0,2.0,4.0,5.0,15.0,12.2,5.0,0.854,0.833,1.0,0.615,13.3,48.4,21.0,49.9,17.2,11.1,32.2,28.4,226.0,131.0,16.1,DEN,93,0,1,240.0,240.0,45.0,86.0,0.523,13.0,25.0,0.52,14.0,18.0,0.778,13.0,37.0,50.0,32.0,9.0,10.0,19.0,23.0,117.0,,,0.623,0.599,0.291,0.209,38.2,72.5,58.8,71.1,9.4,15.2,16.8,100.0,122.3,97.2,,,,8.0,13.0,0.727,4.0,5.0,0.8,6.0,6.0,1.0,3.0,7.0,10.0,8.0,3.0,5.0,6.0,5.0,25.0,22.5,27.0,1.136,0.875,0.8,0.667,24.1,37.5,32.1,71.9,11.3,11.8,100.0,41.1,240.0,111.0,23.3,OKC,117,1,2016,2015-11-01,False
11,240.0,240.0,45.0,86.0,0.523,13.0,25.0,0.52,14.0,18.0,0.778,13.0,37.0,50.0,32.0,9.0,10.0,19.0,23.0,117.0,,,0.623,0.599,0.291,0.209,38.2,72.5,58.8,71.1,9.4,15.2,16.8,100.0,122.3,97.2,,,,8.0,13.0,0.727,4.0,5.0,0.8,6.0,6.0,1.0,3.0,7.0,10.0,8.0,3.0,5.0,6.0,5.0,25.0,22.5,27.0,1.136,0.875,0.8,0.667,24.1,37.5,32.1,71.9,11.3,11.8,100.0,41.1,240.0,111.0,23.3,OKC,117,1,0,240.0,240.0,35.0,92.0,0.38,9.0,26.0,0.346,14.0,19.0,0.737,14.0,21.0,35.0,20.0,8.0,3.0,13.0,17.0,93.0,,,0.463,0.429,0.283,0.207,27.5,61.8,41.2,57.1,8.4,4.9,11.5,100.0,97.2,122.3,,,,6.0,14.0,0.667,2.0,5.0,1.0,7.0,8.0,1.0,3.0,5.0,7.0,7.0,2.0,2.0,4.0,5.0,15.0,12.2,5.0,0.854,0.833,1.0,0.615,13.3,48.4,21.0,49.9,17.2,11.1,32.2,28.4,226.0,131.0,16.1,DEN,93,0,2016,2015-11-01,True
12,240.0,240.0,29.0,69.0,0.42,5.0,19.0,0.263,24.0,24.0,1.0,7.0,26.0,33.0,21.0,6.0,8.0,18.0,21.0,87.0,,,0.547,0.457,0.275,0.348,20.0,59.1,41.8,72.4,6.7,12.3,18.5,100.0,97.4,118.7,,,,8.0,12.0,0.714,2.0,5.0,1.0,5.0,5.0,1.0,3.0,9.0,9.0,7.0,2.0,4.0,4.0,5.0,20.0,19.2,0.0,0.799,0.714,0.667,1.0,27.8,30.0,16.7,41.9,15.2,20.0,50.0,53.8,150.0,130.0,10.6,MIL,87,0,1,240.0,240.0,41.0,90.0,0.456,11.0,25.0,0.44,13.0,20.0,0.65,18.0,28.0,46.0,22.0,12.0,3.0,14.0,19.0,106.0,,,0.536,0.517,0.278,0.222,40.9,80.0,58.2,53.7,13.4,6.0,12.4,100.0,118.7,97.4,,,,7.0,13.0,1.0,4.0,8.0,0.8,5.0,8.0,1.0,4.0,6.0,10.0,7.0,4.0,1.0,3.0,4.0,19.0,19.0,25.0,1.0,1.0,1.0,0.667,46.1,57.9,51.3,43.2,8.7,5.0,100.0,36.3,160.0,109.0,16.3,TOR,106,1,2016,2015-11-01,False
13,240.0,240.0,41.0,90.0,0.456,11.0,25.0,0.44,13.0,20.0,0.65,18.0,28.0,46.0,22.0,12.0,3.0,14.0,19.0,106.0,,,0.536,0.517,0.278,0.222,40.9,80.0,58.2,53.7,13.4,6.0,12.4,100.0,118.7,97.4,,,,7.0,13.0,1.0,4.0,8.0,0.8,5.0,8.0,1.0,4.0,6.0,10.0,7.0,4.0,1.0,3.0,4.0,19.0,19.0,25.0,1.0,1.0,1.0,0.667,46.1,57.9,51.3,43.2,8.7,5.0,100.0,36.3,160.0,109.0,16.3,TOR,106,1,0,240.0,240.0,29.0,69.0,0.42,5.0,19.0,0.263,24.0,24.0,1.0,7.0,26.0,33.0,21.0,6.0,8.0,18.0,21.0,87.0,,,0.547,0.457,0.275,0.348,20.0,59.1,41.8,72.4,6.7,12.3,18.5,100.0,97.4,118.7,,,,8.0,12.0,0.714,2.0,5.0,1.0,5.0,5.0,1.0,3.0,9.0,9.0,7.0,2.0,4.0,4.0,5.0,20.0,19.2,0.0,0.799,0.714,0.667,1.0,27.8,30.0,16.7,41.9,15.2,20.0,50.0,53.8,150.0,130.0,10.6,MIL,87,0,2016,2015-11-01,True
14,240.0,240.0,38.0,73.0,0.521,9.0,23.0,0.391,18.0,26.0,0.692,8.0,28.0,36.0,24.0,6.0,7.0,14.0,23.0,103.0,,,0.61,0.582,0.315,0.356,24.2,73.7,50.7,63.2,6.6,11.7,14.2,100.0,113.2,105.5,,,,10.0,16.0,1.0,6.0,10.0,0.6,4.0,7.0,1.0,3.0,12.0,13.0,8.0,3.0,2.0,4.0,5.0,26.0,19.9,13.0,1.0,1.0,0.667,1.333,23.0,38.5,22.3,37.8,7.0,7.1,75.0,30.9,177.0,114.0,7.9,MIL,103,0,1,240.0,240.0,36.0,79.0,0.456,6.0,19.0,0.316,18.0,22.0,0.818,10.0,25.0,35.0,21.0,3.0,4.0,18.0,23.0,96.0,,,0.541,0.494,0.241,0.278,26.3,75.8,49.3,58.3,3.3,8.0,16.9,100.0,105.5,113.2,,,,6.0,14.0,1.0,2.0,7.0,1.0,6.0,7.0,1.0,4.0,8.0,9.0,6.0,2.0,2.0,5.0,5.0,18.0,12.7,14.0,0.919,1.0,1.0,0.7,32.2,33.8,21.6,38.5,4.2,5.6,33.3,32.5,125.0,119.0,9.1,BRK,96,1,2016,2015-11-02,True
15,240.0,240.0,36.0,79.0,0.456,6.0,19.0,0.316,18.0,22.0,0.818,10.0,25.0,35.0,21.0,3.0,4.0,18.0,23.0,96.0,,,0.541,0.494,0.241,0.278,26.3,75.8,49.3,58.3,3.3,8.0,16.9,100.0,105.5,113.2,,,,6.0,14.0,1.0,2.0,7.0,1.0,6.0,7.0,1.0,4.0,8.0,9.0,6.0,2.0,2.0,5.0,5.0,18.0,12.7,14.0,0.919,1.0,1.0,0.7,32.2,33.8,21.6,38.5,4.2,5.6,33.3,32.5,125.0,119.0,9.1,BRK,96,1,0,240.0,240.0,38.0,73.0,0.521,9.0,23.0,0.391,18.0,26.0,0.692,8.0,28.0,36.0,24.0,6.0,7.0,14.0,23.0,103.0,,,0.61,0.582,0.315,0.356,24.2,73.7,50.7,63.2,6.6,11.7,14.2,100.0,113.2,105.5,,,,10.0,16.0,1.0,6.0,10.0,0.6,4.0,7.0,1.0,3.0,12.0,13.0,8.0,3.0,2.0,4.0,5.0,26.0,19.9,13.0,1.0,1.0,0.667,1.333,23.0,38.5,22.3,37.8,7.0,7.1,75.0,30.9,177.0,114.0,7.9,MIL,103,0,2016,2015-11-02,False
16,240.0,240.0,26.0,96.0,0.271,3.0,23.0,0.13,14.0,20.0,0.7,11.0,33.0,44.0,21.0,8.0,7.0,12.0,24.0,69.0,,,0.329,0.286,0.24,0.208,16.7,76.7,40.4,80.8,7.9,11.9,10.3,100.0,67.9,117.1,,,,5.0,12.0,0.5,1.0,6.0,0.5,6.0,7.0,1.0,3.0,6.0,9.0,5.0,1.0,3.0,3.0,4.0,13.0,10.5,4.0,0.602,0.5,0.75,1.5,11.3,33.8,15.4,96.3,6.2,9.3,27.3,44.3,106.0,126.0,11.4,MEM,69,0,1,240.0,240.0,43.0,84.0,0.512,11.0,25.0,0.44,22.0,30.0,0.733,10.0,55.0,65.0,32.0,8.0,13.0,14.0,15.0,119.0,,,0.612,0.577,0.298,0.357,23.3,83.3,59.6,74.4,7.9,17.8,12.6,100.0,117.1,67.9,,,,10.0,16.0,1.0,4.0,8.0,1.0,6.0,7.0,1.0,3.0,9.0,10.0,8.0,3.0,3.0,3.0,4.0,30.0,26.1,41.0,1.13,1.125,0.6,1.5,16.4,32.6,21.6,39.7,9.3,9.7,25.0,32.9,237.0,78.0,29.2,GSW,119,1,2016,2015-11-02,False
17,240.0,240.0,43.0,84.0,0.512,11.0,25.0,0.44,22.0,30.0,0.733,10.0,55.0,65.0,32.0,8.0,13.0,14.0,15.0,119.0,,,0.612,0.577,0.298,0.357,23.3,83.3,59.6,74.4,7.9,17.8,12.6,100.0,117.1,67.9,,,,10.0,16.0,1.0,4.0,8.0,1.0,6.0,7.0,1.0,3.0,9.0,10.0,8.0,3.0,3.0,3.0,4.0,30.0,26.1,41.0,1.13,1.125,0.6,1.5,16.4,32.6,21.6,39.7,9.3,9.7,25.0,32.9,237.0,78.0,29.2,GSW,119,1,0,240.0,240.0,26.0,96.0,0.271,3.0,23.0,0.13,14.0,20.0,0.7,11.0,33.0,44.0,21.0,8.0,7.0,12.0,24.0,69.0,,,0.329,0.286,0.24,0.208,16.7,76.7,40.4,80.8,7.9,11.9,10.3,100.0,67.9,117.1,,,,5.0,12.0,0.5,1.0,6.0,0.5,6.0,7.0,1.0,3.0,6.0,9.0,5.0,1.0,3.0,3.0,4.0,13.0,10.5,4.0,0.602,0.5,0.75,1.5,11.3,33.8,15.4,96.3,6.2,9.3,27.3,44.3,106.0,126.0,11.4,MEM,69,0,2016,2015-11-02,True
18,240.0,240.0,40.0,84.0,0.476,10.0,23.0,0.435,15.0,22.0,0.682,14.0,41.0,55.0,17.0,7.0,9.0,25.0,24.0,105.0,,,0.56,0.536,0.274,0.262,34.1,85.4,61.8,42.5,6.8,15.0,21.1,100.0,101.5,106.4,,,,10.0,19.0,0.667,4.0,9.0,1.0,7.0,9.0,1.0,6.0,9.0,14.0,11.0,2.0,4.0,7.0,5.0,29.0,21.7,5.0,0.741,0.719,1.0,0.667,20.7,40.5,29.1,66.2,8.6,9.4,100.0,32.6,155.0,112.0,11.1,OKC,105,0,1,240.0,240.0,41.0,89.0,0.461,9.0,29.0,0.31,19.0,29.0,0.655,7.0,27.0,34.0,22.0,18.0,7.0,12.0,22.0,110.0,,,0.54,0.511,0.326,0.326,14.6,65.9,38.2,53.7,17.4,11.5,10.5,100.0,106.4,101.5,,,,12.0,26.0,1.0,4.0,12.0,0.667,9.0,11.0,1.0,2.0,6.0,8.0,11.0,4.0,4.0,4.0,4.0,37.0,28.4,14.0,1.0,1.0,0.6,0.7,5.8,20.3,12.5,43.2,17.6,9.1,33.3,36.0,115.0,110.0,13.0,HOU,110,1,2016,2015-11-02,False
19,240.0,240.0,41.0,89.0,0.461,9.0,29.0,0.31,19.0,29.0,0.655,7.0,27.0,34.0,22.0,18.0,7.0,12.0,22.0,110.0,,,0.54,0.511,0.326,0.326,14.6,65.9,38.2,53.7,17.4,11.5,10.5,100.0,106.4,101.5,,,,12.0,26.0,1.0,4.0,12.0,0.667,9.0,11.0,1.0,2.0,6.0,8.0,11.0,4.0,4.0,4.0,4.0,37.0,28.4,14.0,1.0,1.0,0.6,0.7,5.8,20.3,12.5,43.2,17.6,9.1,33.3,36.0,115.0,110.0,13.0,HOU,110,1,0,240.0,240.0,40.0,84.0,0.476,10.0,23.0,0.435,15.0,22.0,0.682,14.0,41.0,55.0,17.0,7.0,9.0,25.0,24.0,105.0,,,0.56,0.536,0.274,0.262,34.1,85.4,61.8,42.5,6.8,15.0,21.1,100.0,101.5,106.4,,,,10.0,19.0,0.667,4.0,9.0,1.0,7.0,9.0,1.0,6.0,9.0,14.0,11.0,2.0,4.0,7.0,5.0,29.0,21.7,5.0,0.741,0.719,1.0,0.667,20.7,40.5,29.1,66.2,8.6,9.4,100.0,32.6,155.0,112.0,11.1,OKC,105,0,2016,2015-11-02,True
